Sl. No.,Contry,State/UT,2018 - Credit/Debit Cards,2019 - Credit/Debit Cards,2020 - Credit/Debit Cards,2021 - Credit/Debit Cards,2022 - Credit/Debit Cards,Total
1,India,Andhra Pradesh,9,4,37,39,39,128
2,India,Arunachal Pradesh,0,0,0,0,0,0
3,India,Assam,0,0,0,0,0,0
4,India,Bihar,5,24,493,380,562,1464
5,India,Chhattisgarh,0,0,4,2,2,8
6,India,Goa,0,0,0,0,0,0
7,India,Gujarat,10,19,10,45,5,89
8,India,Haryana,0,0,0,0,1,1
9,India,Himachal Pradesh,0,0,1,0,0,1
10,India,Jharkhand,8,0,9,0,2,19
11,India,Karnataka,0,0,0,0,0,0
12,India,Kerala,0,4,0,1,1,6
13,India,Madhya Pradesh,0,0,4,2,6,12
14,India,Maharashtra,143,159,180,162,275,919
15,India,Manipur,0,0,0,0,0,0
16,India,Meghalaya,0,0,0,0,0,0
17,India,Mizoram,0,0,0,0,0,0
18,India,Nagaland,0,0,0,0,0,0
19,India,Odisha,13,50,132,166,147,508
20,India,Punjab,0,2,3,1,4,10
21,India,Rajasthan,11,6,12,20,5,54
22,India,Sikkim,0,0,0,0,0,0
23,India,Tamil Nadu,0,0,2,8,8,18
24,India,Telangana,32,31,252,703,535,1553
25,India,Tripura,0,0,0,0,0,0
26,India,Uttar Pradesh,78,66,47,87,68,346
27,India,Uttarakhand,0,0,0,0,0,0
28,India,West Bengal,0,0,7,6,0,13
Total State (S),India,Total State (S),309,365,1193,1622,1660,5149
29,India,Andaman and Nicobar Islands,0,0,0,0,0,0
30,India,Chandigarh,0,0,0,0,0,0
31,India,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0
32,India,Delhi,0,2,1,2,5,10
33,India,Jammu and Kashmir,0,0,0,0,0,0
34,India,Ladakh,NA,NA,0,0,0,#VALUE!
35,India,Lakshadweep,0,0,0,0,0,0
36,India,Puducherry,0,0,0,0,0,0
Total UT (S),India,Total UT (S),0,2,1,2,5,10
Total (All India),India,Total (All India),309,367,1194,1624,1665,5159
